,city,cases
410,ARIGUANI (EL DIFICIL),145
411,MUTATA,145
412,AGUADAS,144
413,PUERTO NARIÑO,144
414,FORTUL,143
415,POLICARPA,143
416,SAN CARLOS DE GUAROA,141
417,EL TABLON,138
418,LA PINTADA,138
419,SAN FRANCISCO,138
420,TURBANA,137
421,PUERTO CAICEDO,137
422,LERIDA,136
423,VENADILLO,136
424,CURILLO,134
425,ANSERMANUEVO,133
426,EL MOLINO,132
427,COCORNA,132
428,SAN CAYETANO,131
429,PROVIDENCIA,131
430,EL ROSARIO,131
431,AMALFI,130
432,SAN SEBASTIAN DE BUENAVISTA,130
433,PUERTO SANTANDER,130
434,SUBACHOQUE,129
435,TIBASOSA,129
436,LA APARTADA,128
437,ACEVEDO,127
438,SANTA ROSA DE VITERBO,127
439,SAN JUAN DE BETULIA,127
440,SAMANIEGO,126
441,GALERAS (NUEVA GRANADA),126
442,TOLEDO,125
443,CHACHAGUI,125
444,CHIVOLO,124
445,TRUJILLO,123
446,ORTEGA,123
447,SAN ANTERO,123
448,VEGACHI,123
449,SIMITI,122
450,YACUANQUER,122
451,CALOTO,121
452,EL RETEN,121
453,AYAPEL,120
454,BALBOA,120
455,GUARANDA,120
456,TALAIGUA NUEVO,119
457,GUATAPE,119
458,MOMIL,119
459,PUEBLO RICO,118
460,LOS CORDOBAS,118
461,SUAZA,117
462,ABEJORRAL,117
463,TENERIFE,116
464,TERUEL,116
465,CANTAGALLO,115
466,SALADOBLANCO,115
467,CAJIBIO,115
468,TELLO,114
469,CERRO SAN ANTONIO,114
470,SOATA,113
471,LA VICTORIA,111
472,ANORI,111
473,AGUA DE DIOS,110
474,CISNEROS,109
475,OPORAPA,109
476,SUTATAUSA,109
477,PUERTO ESCONDIDO,109
478,NARIÑO,109
479,TIQUISIO (PUERTO RICO),108
480,MORALES,108
481,MISTRATO,108
482,CONCORDIA,108
483,SAN BERNARDO DEL VIENTO,107
484,RISARALDA,107
485,PINILLOS,105
486,RAMIRIQUI,104
487,ROVIRA,104
488,TAMINANGO,104
489,CUCUNUBA,104
490,VILLAPINZON,103
491,ALBAN (SAN JOSE),103
492,MAHATES,102
493,LA VEGA,102
494,PORE,102
495,YAGUARA,102
496,ABREGO,102
497,CAÑASGORDAS,102
498,TORO,101
499,GAMARRA,101
500,SOLANO,101
501,GUASCA,101
502,PENSILVANIA,100
503,BRICENO,100
504,OROCUE,100
505,MANAURE BALCON DEL CESAR,100
506,MILAN,100
507,EL PLAYON,99
508,MIRAFLORES,99
509,CUMBITARA,99
510,NUEVA GRANADA,98
511,GUAITARILLA,98
512,LA ARGENTINA,98
513,SESQUILE,98
514,LA FLORIDA,97
515,CAIMITO,97
516,URAMITA,97
517,ACANDI,97
518,TAMESIS,97
519,LA CUMBRE,97
520,MAJAGUAL,96
521,ARANZAZU,96
522,TOCAIMA,95
523,SAMANA,95
524,SANTIAGO,94
525,VICTORIA,94
526,NUQUI,94
527,CUBARA,94
528,VALDIVIA,93
529,VALPARAISO,92
530,VENTAQUEMADA,92
531,VENECIA,91
532,CONSACA,91
533,GUACHUCAL,91
534,SAN LUIS DE PALENQUE,90
535,CALDONO,89
536,RIO VIEJO,89
537,CHIMA,88
538,OLAYA HERRERA(BOCAS DE SATINGA,88
539,APIA,88
540,AQUITANIA,88
541,RIOFRIO,88
542,AGRADO,88
543,SANTO DOMINGO,87
544,HOBO,87
545,MERCADERES,87
546,GUAPI,87
547,MURINDO,86
548,BETULIA,86
549,VILLAVIEJA,85
550,MACEO,84
551,MALLAMA (PIEDRANCHA),83
552,JERICO,83
553,SALDAÑA,83
554,VIGIA DEL FUERTE,83
555,EL RETORNO,83
556,BELALCAZAR,82
557,SIMIJACA,82
558,UBALA,82
559,BOCHALEMA,82
560,PACOA (CD),82
561,EL TARRA,81
562,FUENTE DE ORO,80
563,LA PEDRERA (CD),79
564,PIEDRAS,79
565,SAN BERNARDO,79
566,COLON,79
567,LA LLANADA,79
568,SANTA BARBARA (ISCUANDE),79
569,ARMERO (GUAYABAL),78
570,BARAYA,78
571,HISPANIA,78
572,TESALIA,78
573,PALMITO,77
574,TADO,77
575,TORIBIO,77
576,ALBAN,76
577,SAN JOSE DE URE,75
578,VETAS,75
579,GUACHETA,75
580,BETANIA,75
581,OIBA,74
582,LOS ANDES (SOTOMAYOR),74
583,SOPLAVIENTO,74
584,ACHI,74
585,PEDRAZA,73
586,MARSELLA,73
587,HELICONIA,73
588,CORINTO,73
589,LA MERCED,73
590,MORELIA,72
591,LENGUAZAQUE,72
592,LA TOLA,72
593,SAN CRISTOBAL,72
594,PIJIÑO DEL CARMEN (PIJIÑO),72
595,GARAGOA,72
596,TOTORO,72
597,SABANAS DE SAN ANGEL,71
598,ALGARROBO,71
599,EL CARMEN DE CHUCURI,71
600,SANTA CRUZ (GUACHAVES),71
601,CARMEN DE APICALA,70
602,PARAMO,70
603,MARIA LA BAJA,70
604,PIOJO,69
605,SALAZAR,69
606,VISTAHERMOSA,69
607,TRINIDAD,69
608,PUERRES,69
609,EL PEÑOL,69
610,QUIPAMA,68
611,ARBELAEZ,68
612,GENOVA,68
613,GUACHENÉ,68
614,ZAMBRANO,68
615,IMUES,68
616,SAN PEDRO DE CARTAGO,67
617,CARMEN DE CARUPA,67
618,PLANADAS,67
619,SOCHA,67
620,MONGUI,67
621,LIBORINA,67
622,CERRITO,67
623,SAN BENITO ABAD,67
624,BELEN,67
625,CAICEDO,66
626,ARENAL,66
627,NATAGA,65
628,ALVARADO,65
629,LEIVA,65
630,VERSALLES,65
631,TUTA,65
632,TITIRIBI,65
633,ATACO,65
634,BAHIA SOLANO (MUTIS),65
635,SAN PABLO DE BORBUR,65
636,ARATOCA,64
637,TAMALAMEQUE,64
638,MOTAVITA,64
639,TARAIRA,64
640,SANTANA,64
641,LANDAZURI,63
642,OTANCHE,63
643,SAN RAFAEL,63
644,SANTA MARIA,63
645,UNION PANAMERICANA,63
646,HATO COROZAL,63
647,PITAL,63
648,ROBERTO PAYAN (SAN JOSE),63
649,SAN JUAN DE URABA,62
650,BAGADO,62
651,CLEMENCIA,62
652,GONZALEZ,60
653,ULLOA,60
654,LA CELIA,60
655,EL DOVIO,60
656,BARRANCO DE LOBA,59
657,ALDANA,59
658,SUAREZ,58
659,SUTAMARCHAN,58
660,PESCA,58
661,BARRANCO MINAS (CD),58
662,SACHICA,57
663,SASAIMA,57
664,FOMEQUE,56
665,EL ROBLE,55
666,INZA,55
667,ROSAS,54
668,CUASPUD (CARLOSAMA),54
669,CONTADERO,54
670,CONCEPCION,54
671,RAFAEL REYES (APULO),53
672,SAN ANTONIO DE TEQUENDAMA,53
673,CHARALA,53
674,MARIPI,53
675,CACHIPAY,52
676,YACOPI,52
677,PAZ DE RIO,52
678,TARSO,51
679,FRONTINO,51
680,EBEJICO,51
681,CHITA,51
682,GUATICA,50
683,SUAITA,50
684,ATRATO,50
685,LA ESPERANZA,50
686,CABUYARO,49
687,CURITI,49
688,FRANCISCO PIZARRO (SALAHONDA),49
689,PUERTO RONDON,48
690,EL PIÑON,48
691,SOLITA,47
692,CUBARRAL,47
693,CHOACHI,47
694,SORACA,47
695,PAICOL,47
696,ANZA,47
697,NOROSÌ,47
698,CAPARRAPI,47
699,EL PEÑON,46
700,SAPUYES,46
701,PURACE,46
702,BUENOS AIRES,46
703,LA PAZ,45
704,RIOQUITO,45
705,LOS SANTOS,45
706,FILADELFIA,45
707,BARRANCA DE UPIA,45
708,NORCASIA,45
709,ALTAMIRA,44
710,SAN SEBASTIAN,44
711,CHITAGA,44
712,LA MACARENA,43
713,CARURU,43
714,LINARES,43
715,RAGONVALIA,42
716,ANOLAIMA,42
717,TOCA,42
718,YAVARATE (CD),41
719,MAPIRIPAN,41
720,ALTO BAUDO (PIE DE PATO),41
721,TEORAMA,40
722,TENA,40
723,GRAMALOTE,40
724,PIAMONTE,40
725,GACHANTIVA,40
726,UNE,40
727,LA BELLEZA,39
728,SAN ANTONIO,39
729,MONTEBELLO,38
730,CONVENCION,38
731,PAMPLONITA,38
732,GACHETA,38
733,GOMEZ PLATA,38
734,IQUIRA,38
735,EL CASTILLO,38
736,CUCUTILLA,38
737,NUNCHIA,38
738,SAN JOSE DE MIRANDA,37
739,TASCO,37
740,ARCABUCO,37
741,MESETAS,37
742,ANGOSTURA,37
743,FUNES,37
744,SAN JOSE,37
745,JAMBALO,36
746,SAN JACINTO DEL CAUCA,36
747,SOCOTA,36
748,LA SIERRA,36
749,ICONONZO,36
750,CAROLINA,35
751,FIRAVITOBA,35
752,MONTECRISTO,35
753,ANZOATEGUI,35
