day,Colombia,Italy,Spain,Peru,Ecuador,Argentina,Chile,Venezuela,Brazil,Mexico
124,7688.0,34675,28385,13579.0,5158.0,1720,8838.0,151.0,78772.0,39485.0
125,7975.0,34644,28385,13767.0,5207.0,1774,8914.0,156.0,79488.0,40400.0
126,8269.0,34678,28388,17654.0,5250.0,1810,9020.0,158.0,80120.0,41190.0
127,8525.0,34708,28392,17843.0,5282.0,1845,9112.0,164.0,81487.0,41908.0
128,8777.0,34716,28396,17843.0,5313.0,1903,9187.0,169.0,82771.0,42645.0
129,9074.0,34738,28401,17843.0,5318.0,1968,9240.0,174.0,84082.0,43374.0
130,9454.0,34744,28403,18418.0,5366.0,2050,9278.0,180.0,85238.0,43680.0
131,9810.0,34767,28403,18612.0,5418.0,2112,9377.0,187.0,86449.0,44022.0
132,10105.0,34788,28403,18816.0,5439.0,2178,9457.0,195.0,87004.0,44876.0
133,10330.0,34818,28406,18816.0,5468.0,2220,9533.0,202.0,87618.0,45361.0
134,10650.0,34833,28409,19021.0,5507.0,2260,9608.0,208.0,88539.0,46000.0
135,11017.0,34854,28413,19021.0,5515.0,2373,9707.0,215.0,90134.0,46688.0
136,11315.0,34861,28416,19614.0,5532.0,2490,9745.0,223.0,91263.0,47472.0
137,11624.0,34869,28420,19811.0,5584.0,2588,9792.0,229.0,92475.0,47746.0
138,11939.0,34899,28420,20007.0,5623.0,2702,9889.0,238.0,93563.0,48012.0
139,12250.0,34914,28420,20228.0,5657.0,2807,9958.0,247.0,94104.0,48869.0
140,12540.0,34926,28422,20424.0,5702.0,2893,10011.0,259.0,94665.0,49698.0
141,12842.0,34938,28424,20649.0,5736.0,2939,10077.0,266.0,95819.0,50517.0
142,13154.0,34945,28426,20649.0,5736.0,3059,10139.0,276.0,97256.0,51311.0
143,13475.0,34954,28429,21072.0,5767.0,3179,10178.0,281.0,98493.0,52006.0
144,13837.0,34967,28432,21276.0,5808.0,3288,10205.0,288.0,99572.0,52298.0
145,14145.0,34984,28432,21501.0,5847.0,3441,10299.0,297.0,100477.0,53003.0
146,14492.0,34997,28432,21501.0,5877.0,3543,10340.0,303.0,101049.0,53929.0
147,14810.0,35017,28434,21713.0,5897.0,3596,10395.0,311.0,101752.0,54666.0
148,15097.0,35028,28436,25856.0,5916.0,3648,10452.0,317.0,103026.0,55293.0
149,15372.0,35042,28441,25856.0,5922.0,3813,10513.0,323.0,104201.0,55908.0
150,15619.0,35045,28443,26075.0,5932.0,3979,10546.0,329.0,105463.0,56543.0
151,15979.0,35058,28445,26281.0,5951.0,4106,10578.0,337.0,106523.0,56757.0
152,16183.0,35073,28445,26481.0,5984.0,4251,10671.0,343.0,107232.0,57023.0
153,16568.0,35082,28445,26658.0,6010.0,4411,10723.0,351.0,107852.0,57774.0
154,16968.0,35092,28472,26834.0,6030.0,4523,10792.0,358.0,108536.0,58481.0
155,17316.0,35097,28498,27034.0,6065.0,4606,10852.0,366.0,109888.0,59106.0
156,17612.0,35102,28499,27245.0,6070.0,4764,10916.0,375.0,111100.0,59610.0
157,17889.0,35107,28500,27453.0,6083.0,5004,10958.0,381.0,112304.0,60254.0
158,18184.0,35112,28503,27663.0,6105.0,5213,10990.0,386.0,113358.0,60480.0
159,18467.0,35123,28503,27813.0,6146.0,5362,11072.0,391.0,114250.0,60800.0
160,18766.0,35129,28503,28001.0,6200.0,5527,11132.0,398.0,114744.0,61450.0
161,19063.0,35132,28576,28124.0,6248.0,5637,11181.0,402.0,115309.0,62076.0
162,19363.0,35141,28581,28277.0,6277.0,5703,11244.0,412.0,116580.0,62594.0
163,19662.0,35146,28579,28471.0,6310.0,5814,11289.0,420.0,117665.0,63146.0
164,20050.0,35154,28605,28607.0,6322.0,6048,11321.0,428.0,118649.0,63819.0
165,20345.0,35166,28617,28788.0,6368.0,6330,11344.0,436.0,119504.0,64158.0
166,20618.0,35171,28617,28944.0,6410.0,6517,11422.0,444.0,120262.0,64414.0
167,20888.0,35181,28617,29068.0,6471.0,6730,11494.0,452.0,120828.0,65241.0
168,21156.0,35187,28646,29068.0,6504.0,6848,11551.0,460.0,121381.0,65816.0
169,21412.0,35190,28670,29405.0,6537.0,6985,11592.0,468.0,122596.0,66329.0
170,21615.0,35203,28797,29554.0,6555.0,7366,11652.0,477.0,123780.0,66851.0
171,21817.0,35205,28813,29687.0,6556.0,7563,11682.0,485.0,124614.0,67326.0
172,22053.0,35209,28838,29838.0,6571.0,7839,11702.0,494.0,125502.0,67558.0
173,22275.0,35215,28838,29976.0,6619.0,8050,11781.0,502.0,126203.0,67781.0
174,22518.0,35225,28838,30123.0,6648.0,8271,11850.0,511.0,126650.0,68484.0
175,22734.0,35231,28872,30236.0,6674.0,8353,11895.0,520.0,126960.0,69049.0
176,22924.0,35234,28924,30344.0,6724.0,8457,11949.0,530.0,127464.0,69649.0
177,23123.0,35392,28971,30470.0,6724.0,8660,12013.0,539.0,128539.0,70183.0
178,23288.0,35396,28996,30526.0,10576.0,8919,12040.0,547.0,129522.0,70604.0
179,23478.0,35400,29011,30710.0,10627.0,9118,12058.0,555.0,130396.0,70821.0
180,23665.0,35405,29011,30812.0,10701.0,9361,12142.0,564.0,131210.0,71049.0
181,23665.0,35412,29011,30927.0,10749.0,9623,12199.0,574.0,131625.0,71678.0
182,24039.0,35418,29094,31051.0,10836.0,9739,12254.0,581.0,132006.0,71978.0
183,24208.0,35427,29152,31146.0,10864.0,9859,12286.0,591.0,133119.0,72179.0
184,24397.0,35430,29194,31283.0,10903.0,10129,12298.0,600.0,134106.0,72803.0
185,24397.0,35437,29234,31369.0,10922.0,10405,12321.0,606.0,134935.0,73258.0
186,24746.0,35441,29418,31369.0,10963.0,10658,12345.0,614.0,135793.0,73493.0
187,24746.0,35445,29418,31369.0,10996.0,10907,12469.0,621.0,136532.0,73697.0
188,25103.0,35458,29418,31568.0,11029.0,11148,12527.0,628.0,136895.0,74348.0
189,25296.0,35463,29516,31870.0,11044.0,11263,12591.0,635.0,137272.0,74949.0
190,25488.0,35472,29594,32037.0,11084.0,11352,12641.0,643.0,138105.0,75439.0
191,25641.0,35473,29628,32037.0,11090.0,11667,12698.0,649.0,138105.0,75844.0
192,25828.0,35477,29699,32142.0,11095.0,11852,12725.0,653.0,139808.0,76243.0
193,25998.0,35483,29747,32262.0,11126.0,12116,12741.0,658.0,140537.0,76430.0
194,26196.0,35491,29747,32324.0,11171.0,12460,12822.0,665.0,141406.0,76603.0
195,26397.0,35497,29747,32396.0,11213.0,12656,12867.0,671.0,141741.0,77163.0
196,26556.0,35507,29848,32463.0,11236.0,12799,12919.0,678.0,142058.0,77646.0
197,26712.0,35518,30004,32535.0,11273.0,13053,12979.0,684.0,142921.0,78078.0
198,26844.0,35534,30243,32609.0,11279.0,13482,13037.0,691.0,143952.0,78492.0
199,27017.0,35541,30405,32609.0,11280.0,13952,13070.0,697.0,144680.0,78880.0
200,27180.0,35553,30495,32742.0,11312.0,14376,13090.0,704.0,144680.0,79088.0
201,27180.0,35563,30495,32834.0,11355.0,14766,13167.0,710.0,145987.0,81877.0
202,27495.0,35577,30495,32914.0,11433.0,15208,13220.0,714.0,146352.0,82348.0
203,27660.0,35587,30663,33009.0,11495.0,15543,13272.0,720.0,146675.0,82726.0
204,27834.0,35597,30904,33098.0,11597.0,15749,13318.0,725.0,147494.0,83096.0
205,27985.0,35603,31034,33223.0,11647.0,16113,13376.0,731.0,148228.0,83497.0
206,28141.0,35610,31118,33305.0,11681.0,16519,13396.0,736.0,148957.0,83642.0
207,28306.0,35624,31232,33357.0,11702.0,16937,13415.0,736.0,149639.0,83781.0
208,28457.0,35633,31232,33419.0,11743.0,20288,13434.0,747.0,150198.0,83945.0
209,28616.0,35645,31232,33419.0,12141.0,20599,13529.0,753.0,150488.0,84420.0
210,28803.0,35658,31411,33577.0,12175.0,20795,13588.0,759.0,150689.0,84898.0
211,28970.0,35668,31411,33577.0,12188.0,21018,13635.0,764.0,150998.0,85285.0
212,29102.0,35692,31791,33648.0,12191.0,21468,13676.0,770.0,151747.0,85704.0
213,29272.0,35707,31973,33702.0,12218.0,21827,13702.0,773.0,152460.0,86059.0
214,29464.0,35724,32086,33759.0,12235.0,22226,13719.0,777.0,153214.0,86167.0
215,29637.0,35738,32086,33820.0,12264.0,22710,13792.0,780.0,153675.0,86338.0
216,29802.0,35758,32086,33875.0,12306.0,23225,13844.0,784.0,153675.0,86893.0
217,30000.0,35781,32225,33984.0,12357.0,23581,13892.0,789.0,154176.0,87415.0
218,30154.0,35801,32486,33984.0,12375.0,23868,13944.0,793.0,154837.0,87415.0
219,30348.0,35818,32562,34033.0,12387.0,24186,14003.0,798.0,155403.0,88312.0
220,30565.0,35835,32688,34149.0,12395.0,24572,14026.0,801.0,155900.0,88743.0
221,30753.0,35851,32929,34149.0,12404.0,24921,14032.0,806.0,156471.0,88924.0
222,30926.0,35875,32929,34197.0,12453.0,25342,14118.0,810.0,156903.0,89171.0
223,31135.0,35894,32929,34257.0,12500.0,25723,14158.0,814.0,157134.0,89814.0
224,31314.0,35918,33124,34315.0,12528.0,26107,14207.0,819.0,157397.0,90309.0
225,31515.0,35941,33204,34362.0,12542.0,26267,14247.0,821.0,157946.0,90773.0
226,31653.0,35968,33413,34411.0,12553.0,26716,14302.0,824.0,158456.0,91289.0
227,31847.0,35986,33553,34476.0,12573.0,27100,14319.0,826.0,158969.0,91753.0
228,32013.0,36002,33775,34476.0,12588.0,27519,14340.0,830.0,159477.0,91895.0
229,32209.0,36030,33775,34476.0,12608.0,27957,14404.0,834.0,159884.0,92100.0
230,32405.0,36061,33775,34671.0,12622.0,28338,14450.0,838.0,160074.0,92593.0
231,32595.0,36083,33992,34730.0,12632.0,28613,14499.0,841.0,160253.0,93228.0
232,32791.0,36111,34210,34730.0,12670.0,28896,14543.0,844.0,160496.0,93772.0
233,32974.0,36140,34366,34783.0,12684.0,29301,14588.0,848.0,161106.0,94323.0
234,33128.0,36166,34521,34821.0,12692.0,29730,14611.0,851.0,161106.0,94808.0
235,33312.0,36205,34752,34879.0,12698.0,30071,14633.0,855.0,162015.0,95027.0
236,33491.0,36246,34752,34943.0,12704.0,30442,14699.0,858.0,162269.0,95225.0
237,33669.0,36289,34752,34992.0,12730.0,30792,14738.0,860.0,162397.0,95842.0
238,33829.0,36372,35031,35031.0,12761.0,31002,14777.0,863.0,162628.0,96430.0
239,34031.0,36427,35298,35067.0,12815.0,31140,14819.0,866.0,162802.0,97056.0
240,34223.0,36474,35466,35106.0,12830.0,31623,14863.0,869.0,163368.0,97624.0
241,34381.0,36543,35639,35177.0,12839.0,32052,14883.0,871.0,164281.0,98259.0
242,34563.0,36616,35878,35231.0,12849.0,32520,14897.0,873.0,164737.0,98542.0
243,34761.0,36705,35878,35271.0,12920.0,32766,14955.0,876.0,165658.0,98861.0
244,34929.0,36832,35878,35317.0,12946.0,33136,15003.0,880.0,165798.0,99026.0
245,35104.0,36968,36257,35317.0,12977.0,33348,15030.0,884.0,166014.0,99528.0
246,35287.0,37059,36495,35446.0,12997.0,33560,15069.0,888.0,166699.0,100104.0
247,35479.0,37210,38118,35549.0,13008.0,33907,15106.0,892.0,167455.0,100823.0
248,35677.0,37338,38486,35549.0,13016.0,34183,15131.0,894.0,168061.0,101373.0
249,35860.0,37479,38833,35595.0,13025.0,34531,15138.0,897.0,168613.0,101676.0
250,36019.0,37700,38833,35641.0,13052.0,34782,15235.0,901.0,168989.0,101926.0
251,36214.0,37905,38833,35685.0,13073.0,35045,15278.0,905.0,169183.0,102739.0
252,36401.0,38122,39345,35685.0,13095.0,35307,15322.0,909.0,169485.0,103597.0
253,36584.0,38321,39345,35785.0,13139.0,35436,15356.0,913.0,170115.0,104242.0
254,36766.0,38618,40105,35879.0,13201.0,35727,15410.0,916.0,170769.0,104242.0
255,36934.0,38826,40461,35923.0,13225.0,36106,15430.0,,171460.0,105459.0
256,37117.0,39059,40769,35923.0,13264.0,36347,15438.0,,171974.0,105655.0
257,37305.0,39412,40769,35966.0,13288.0,36532,15519.0,,172561.0,105940.0
258,37467.0,39764,40769,35966.0,13316.0,36790,15558.0,,172833.0,106765.0
259,37633.0,40192,41253,36076.0,13358.0,36902,15592.0,,173120.0,107565.0
260,,40638,41688,36076.0,13371.0,37002,,,173817.0,108173.0
261,,41063,42039,36195.0,13423.0,37122,,,174515.0,108863.0
262,,41394,42291,,13461.0,37432,,,175270.0,109456.0
263,,41750,42619,,13501.0,37714,,,175964.0,
264,,42330,42619,,13562.0,37941,,,176628.0,
265,,42953,42619,,13612.0,38216,,,,
266,,43589,43131,,13696.0,38322,,,,
267,,44139,43668,,13756.0,38473,,,,
268,,44683,44037,,,38730,,,,
269,,45229,44374,,,38928,,,,
270,,45733,44668,,,39156,,,,
271,,46464,44668,,,39305,,,,
272,,47217,44668,,,39512,,,,
