day,Colombia,Italy,Spain,Peru,Ecuador,Argentina,Chile,Venezuela,Brazil,Mexico
65,10495.0,124632,131646,65015.0,31881.0,5208.0,25826.0,541.0,87187.0,22088.0
66,11063.0,128948,136675,67307.0,31881.0,5371.0,27359.0,618.0,92202.0,23471.0
67,11613.0,132547,141942,68822.0,31881.0,5611.0,28750.0,749.0,97100.0,24905.0
68,12272.0,135586,148220,72059.0,30298.0,5776.0,32208.0,824.0,101826.0,26025.0
69,12930.0,139422,153222,76306.0,28818.0,6034.0,33855.0,882.0,108620.0,27634.0
70,13610.0,143626,158273,80604.0,29071.0,6278.0,35052.0,944.0,115455.0,29616.0
71,14216.0,147577,163027,84495.0,29559.0,6563.0,36710.0,1010.0,126611.0,31522.0
72,14939.0,152271,166831,88541.0,29509.0,6879.0,39370.0,1121.0,135773.0,33460.0
73,15574.0,156363,170099,92273.0,30419.0,7134.0,42029.0,1177.0,146894.0,35022.0
74,16295.0,159516,172541,94933.0,30486.0,7479.0,44531.0,1211.0,156061.0,36327.0
75,16935.0,162488,177644,99483.0,30502.0,7805.0,50016.0,1245.0,162699.0,38324.0
76,17687.0,165155,184948,104020.0,31467.0,8068.0,52369.0,1325.0,169594.0,40186.0
77,18330.0,168941,190839,108769.0,32763.0,8371.0,54647.0,1370.0,178214.0,42595.0
78,19131.0,172434,191726,111698.0,33182.0,8809.0,58167.0,1459.0,190137.0,45032.0
79,20177.0,175925,198674,115754.0,33582.0,9283.0,62205.0,1510.0,203165.0,47144.0
80,21175.0,178972,200210,119959.0,34151.0,9931.0,66169.0,1662.0,220291.0,49219.0
81,21981.0,181228,204178,123979.0,34854.0,10649.0,70445.0,1819.0,233511.0,51633.0
82,23003.0,183957,208389,129751.0,35306.0,11353.0,80287.0,1952.0,241080.0,54346.0
83,24104.0,187327,213024,135905.0,35828.0,12076.0,83996.0,2087.0,255368.0,56594.0
84,25366.0,189973,202990,141779.0,36258.0,12628.0,88891.0,2145.0,271885.0,59567.0
85,26688.0,192994,205905,148285.0,36756.0,13228.0,92855.0,2316.0,291579.0,62527.0
86,28236.0,195351,207634,155671.0,37355.0,13933.0,97183.0,2377.0,310087.0,65856.0
87,29383.0,197675,209465,164476.0,37355.0,14702.0,101837.0,2473.0,330890.0,68620.0
88,30493.0,199414,210773,170039.0,38103.0,15419.0,105532.0,2632.0,347398.0,71105.0
89,31833.0,201505,212917,178165.0,38471.0,16214.0,118720.0,2738.0,363211.0,74560.0
90,33354.0,203591,213435,178914.0,38571.0,16851.0,123550.0,2814.0,374898.0,78023.0
91,35120.0,205463,215216,183198.0,38571.0,17415.0,129020.0,2879.0,391222.0,81400.0
92,36635.0,207428,216582,187400.0,39098.0,18319.0,132548.0,2904.0,411821.0,84627.0
93,38027.0,209328,217466,191758.0,39098.0,19268.0,137490.0,2978.0,438238.0,87512.0
94,39236.0,210717,218011,196515.0,40414.0,20197.0,142154.0,3062.0,465166.0,90664.0
95,40719.0,211938,219329,199696.0,40966.0,21037.0,146361.0,3150.0,498440.0,93435.0
96,42078.0,213013,220325,203736.0,40966.0,22020.0,160351.0,3386.0,514849.0,97326.0
97,43682.0,214457,221447,208823.0,41575.0,22794.0,166756.0,3483.0,526447.0,101238.0
98,45212.0,215858,222857,214788.0,42728.0,23620.0,171452.0,3591.0,555383.0,105680.0
99,46858.0,217185,223578,214788.0,43120.0,24761.0,175365.0,3789.0,584016.0,110026.0
100,48746.0,218268,224350,220749.0,43378.0,25987.0,181062.0,3917.0,614941.0,113619.0
101,50939.0,219070,227436,229736.0,43917.0,27373.0,186698.0,4048.0,645771.0,117103.0
