,date,cases
124,7/8/20,128638
125,7/9/20,133973
126,7/10/20,140776
127,7/11/20,145632
128,7/12/20,150445
129,7/13/20,154277
130,7/14/20,159898
131,7/15/20,165169
132,7/16/20,173206
133,7/17/20,182140
134,7/18/20,190700
135,7/19/20,197278
136,7/20/20,204005
137,7/21/20,211038
138,7/22/20,218428
139,7/23/20,226373
140,7/24/20,233541
141,7/25/20,240795
142,7/26/20,248976
143,7/27/20,257101
144,7/28/20,267385
145,7/29/20,276055
146,7/30/20,286020
147,7/31/20,295508
148,8/1/20,306181
149,8/2/20,317651
150,8/3/20,327850
151,8/4/20,334979
152,8/5/20,345714
153,8/6/20,357710
154,8/7/20,367204
155,8/8/20,376870
156,8/9/20,387481
157,8/10/20,397623
158,8/11/20,410453
159,8/12/20,422519
160,8/13/20,433805
161,8/14/20,445111
162,8/15/20,456689
163,8/16/20,468332
164,8/17/20,476660
165,8/18/20,489122
166,8/19/20,502178
167,8/20/20,513719
168,8/21/20,522138
169,8/22/20,533103
170,8/23/20,541139
171,8/24/20,551688
172,8/25/20,562113
173,8/26/20,572243
174,8/27/20,581995
175,8/28/20,590492
176,8/29/20,599884
177,8/30/20,607904
178,8/31/20,615094
179,9/1/20,624026
180,9/2/20,633321
181,9/3/20,641574
182,9/4/20,650063
183,9/5/20,658456
184,9/6/20,666521
185,9/7/20,671848
186,9/8/20,679513
187,9/9/20,686851
188,9/10/20,694664
189,9/11/20,702088
190,9/12/20,708964
191,9/13/20,716319
192,9/14/20,721892
193,9/15/20,728590
194,9/16/20,736377
195,9/17/20,743945
196,9/18/20,750471
197,9/19/20,758398
198,9/20/20,765076
199,9/21/20,770435
200,9/22/20,777537
201,9/23/20,784268
202,9/24/20,790823
203,9/25/20,798317
204,9/26/20,806038
205,9/27/20,813056
206,9/28/20,818203
207,9/29/20,824042
208,9/30/20,829679
209,10/1/20,835339
210,10/2/20,841532
211,10/3/20,848147
212,10/4/20,855052
213,10/5/20,862158
214,10/6/20,869808
215,10/7/20,877684
216,10/8/20,886179
217,10/9/20,894300
218,10/10/20,902747
219,10/11/20,911316
220,10/12/20,919084
221,10/13/20,924098
222,10/14/20,930159
223,10/15/20,936982
224,10/16/20,945354
225,10/17/20,952371
226,10/18/20,959572
227,10/19/20,965883
228,10/20/20,974139
229,10/21/20,981700
230,10/22/20,990373
231,10/23/20,998942
232,10/24/20,1007711
233,10/25/20,1015885
234,10/26/20,1025052
235,10/27/20,1033218
236,10/28/20,1041935
237,10/29/20,1053122
238,10/30/20,1063151
239,10/31/20,1074184
240,11/1/20,1083321
241,11/2/20,1093256
242,11/3/20,1099392
243,11/4/20,1108086
244,11/5/20,1117977
245,11/6/20,1127733
246,11/7/20,1136447
247,11/8/20,1143887
248,11/9/20,1149064
249,11/10/20,1155356
250,11/11/20,1165326
251,11/12/20,1174012
252,11/13/20,1182697
253,11/14/20,1191634
254,11/15/20,1198746
255,11/16/20,1205217
256,11/17/20,1211128
257,11/18/20,1218003
258,11/19/20,1225490
259,11/20/20,1233444
260,11/21/20,1240493
261,11/22/20,1248417
262,11/23/20,1254979
263,11/24/20,1262494
264,11/25/20,1270991
265,11/26/20,1280487
266,11/27/20,1290510
267,11/28/20,1299613
268,11/29/20,1308376
269,11/30/20,1316806
270,12/1/20,1324792
271,12/2/20,1334089
272,12/3/20,1343322
273,12/4/20,1352607
274,12/5/20,1362249
275,12/6/20,1371103
276,12/7/20,1377100
277,12/8/20,1384610
278,12/9/20,1392133
279,12/10/20,1399911
280,12/11/20,1408909
281,12/12/20,1417072
282,12/13/20,1425774
283,12/14/20,1434516
284,12/15/20,1444646
285,12/16/20,1456599
286,12/17/20,1468795
287,12/18/20,1482072
288,12/19/20,1496062
289,12/20/20,1507222
290,12/21/20,1518067
291,12/22/20,1530593
292,12/23/20,1544826
293,12/24/20,1559766
